fold,train_start,sel_start,test_start,test_end,seed,universe_mode,survivorship_bias,n_assets,tickers_hash,tickers,status,agent_sharpe,agent_return,agent_dd,agent_vol,error_type,error_message,error_traceback,buy_and_hold_sharpe,buy_and_hold_return,equal_weight_sharpe,equal_weight_return,sp500_sharpe,sp500_return
30,2005-01-03,2015-01-07,2015-07-09,2015-10-06,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.9546173102429716,0.1198899180730594,-0.1049932576191488,0.2401463870273753,,,,2.0594791639671644,0.1536198906348627,2.038184605011587,0.1513787447973624,-0.6804251308936329,-0.0465660870959661
30,2005-01-03,2015-01-07,2015-07-09,2015-10-06,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.8572959512999532,0.119494969705941,-0.1139774412229501,0.2537451725407201,,,,2.0594791639671644,0.1536198906348627,2.038184605011587,0.1513787447973624,-0.6804251308936329,-0.0465660870959661
30,2005-01-03,2015-01-07,2015-07-09,2015-10-06,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.706303502797604,0.1036443695631983,-0.1077233554780546,0.2402418638570353,,,,2.0594791639671644,0.1536198906348627,2.038184605011587,0.1513787447973624,-0.6804251308936329,-0.0465660870959661
31,2005-01-03,2015-04-09,2015-10-07,2016-01-06,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.5173999221297527,0.1216428833985268,-0.0556720333789422,0.1842490475161612,,,,2.0950160060205354,0.1141077372967693,2.071643154901345,0.1131877448653908,-0.16632533849778566,-0.011507747141554225
31,2005-01-03,2015-04-09,2015-10-07,2016-01-06,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.272686666699712,0.1101663331999571,-0.0536946802899015,0.1858001708583928,,,,2.0950160060205354,0.1141077372967693,2.071643154901345,0.1131877448653908,-0.16632533849778566,-0.011507747141554225
31,2005-01-03,2015-04-09,2015-10-07,2016-01-06,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.0069072464534568,0.0901872625026509,-0.0563338936926912,0.1723893881736459,,,,2.0950160060205354,0.1141077372967693,2.071643154901345,0.1131877448653908,-0.16632533849778566,-0.011507747141554225
32,2005-01-03,2015-07-09,2016-01-07,2016-04-07,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.0342708140911328,0.0548259458498887,-0.0944220465543745,0.212405447001326,,,,1.1035683406177603,0.066494480776037,1.143307736534427,0.0694956399083199,1.0988630993597954,0.062371556664319705
32,2005-01-03,2015-07-09,2016-01-07,2016-04-07,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.074207095780395,0.0550898202748533,-0.0906165833093975,0.2037572851262826,,,,1.1035683406177603,0.066494480776037,1.143307736534427,0.0694956399083199,1.0988630993597954,0.062371556664319705
32,2005-01-03,2015-07-09,2016-01-07,2016-04-07,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.250349665505444,0.0667540638097587,-0.0928258726681858,0.2122235917572561,,,,1.1035683406177603,0.066494480776037,1.143307736534427,0.0694956399083199,1.0988630993597954,0.062371556664319705
33,2005-01-03,2015-10-07,2016-04-08,2016-07-07,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.6761374335971388,0.0701199752149908,-0.065094399052381,0.1601817604836574,,,,1.5089766665065514,0.0725114821577948,1.2847446541399328,0.0608815403041407,0.6283754756779751,0.027380110762911247
33,2005-01-03,2015-10-07,2016-04-08,2016-07-07,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.9136974300901088,0.0827091237726949,-0.0610647693339178,0.1656039801464247,,,,1.5089766665065514,0.0725114821577948,1.2847446541399328,0.0608815403041407,0.6283754756779751,0.027380110762911247
33,2005-01-03,2015-10-07,2016-04-08,2016-07-07,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.7811553776677191,0.0707561646372729,-0.0611517451803494,0.1513155666667189,,,,1.5089766665065514,0.0725114821577948,1.2847446541399328,0.0608815403041407,0.6283754756779751,0.027380110762911247
34,2005-01-03,2016-01-07,2016-07-08,2016-10-05,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,5.021574079537788,0.1559163731113728,-0.0325969198977757,0.1147448481674217,,,,4.955754237333693,0.1710668094737488,4.983067834999235,0.1703888097758052,0.3935866015146471,0.010560776585547993
34,2005-01-03,2016-01-07,2016-07-08,2016-10-05,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,4.790270682355123,0.1230924606162486,-0.0270851571038081,0.0953657397134339,,,,4.955754237333693,0.1710668094737488,4.983067834999235,0.1703888097758052,0.3935866015146471,0.010560776585547993
34,2005-01-03,2016-01-07,2016-07-08,2016-10-05,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,5.048117636163329,0.1406903748343992,-0.0289245245340732,0.1031907979859196,,,,4.955754237333693,0.1710668094737488,4.983067834999235,0.1703888097758052,0.3935866015146471,0.010560776585547993
35,2005-01-03,2016-04-08,2016-10-06,2017-01-05,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.596717672113248,0.0806381962780355,-0.0643250731661074,0.1970614707599048,,,,1.831421168292079,0.1095061275816029,1.8103269622848763,0.1027777887799175,2.0545757140973113,0.053516213790078204
35,2005-01-03,2016-04-08,2016-10-06,2017-01-05,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.95303244136404,0.0932897160740493,-0.0557369999172755,0.1841173771074084,,,,1.831421168292079,0.1095061275816029,1.8103269622848763,0.1027777887799175,2.0545757140973113,0.053516213790078204
35,2005-01-03,2016-04-08,2016-10-06,2017-01-05,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.840036586837456,0.099045149020456,-0.0635320032844733,0.2096740422412121,,,,1.831421168292079,0.1095061275816029,1.8103269622848763,0.1027777887799175,2.0545757140973113,0.053516213790078204
36,2005-01-03,2016-07-08,2017-01-06,2017-04-06,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.8875859077945256,0.0486880991448763,-0.0242573595909178,0.0941675972775885,,,,2.638905537083602,0.0777417027899791,2.640370540749632,0.0779534339965632,1.850180492617492,0.03904539279106678
36,2005-01-03,2016-07-08,2017-01-06,2017-04-06,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.4779299041538585,0.0649868272561675,-0.0233846456712281,0.0971663062783592,,,,2.638905537083602,0.0777417027899791,2.640370540749632,0.0779534339965632,1.850180492617492,0.03904539279106678
36,2005-01-03,2016-07-08,2017-01-06,2017-04-06,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.483869535153897,0.0624750183258162,-0.0224069461788721,0.0929023109254018,,,,2.638905537083602,0.0777417027899791,2.640370540749632,0.0779534339965632,1.850180492617492,0.03904539279106678
37,2005-01-03,2016-10-06,2017-04-07,2017-07-07,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.866282434526462,0.1324612979199309,-0.0752790195538251,0.1749590897432938,,,,2.7883476793958137,0.1462086865228027,2.783824148218144,0.1411530569287622,1.2692066834643914,0.02885676919152269
37,2005-01-03,2016-10-06,2017-04-07,2017-07-07,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.1571605566833774,0.0937834767537681,-0.0733980061217067,0.1661885008300967,,,,2.7883476793958137,0.1462086865228027,2.783824148218144,0.1411530569287622,1.2692066834643914,0.02885676919152269
37,2005-01-03,2016-10-06,2017-04-07,2017-07-07,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.7038185597111157,0.1115257280994641,-0.0663428674614489,0.1562187342113092,,,,2.7883476793958137,0.1462086865228027,2.783824148218144,0.1411530569287622,1.2692066834643914,0.02885676919152269
38,2005-01-03,2017-01-06,2017-07-10,2017-10-05,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.8121603487141151,0.0610577457421395,-0.0326762872368902,0.1263633386189175,,,,1.7311839553360748,0.0695372332306112,1.7675212744920563,0.0703122070396631,2.662100951917642,0.05217005666146379
38,2005-01-03,2017-01-06,2017-07-10,2017-10-05,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.8251756883346115,0.0600112160085748,-0.03434478035456,0.1230357579156325,,,,1.7311839553360748,0.0695372332306112,1.7675212744920563,0.0703122070396631,2.662100951917642,0.05217005666146379
38,2005-01-03,2017-01-06,2017-07-10,2017-10-05,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,1.4907464759966922,0.0462349259815428,-0.0338621836027459,0.1142447998889912,,,,1.7311839553360748,0.0695372332306112,1.7675212744920563,0.0703122070396631,2.662100951917642,0.05217005666146379
39,2005-01-03,2017-04-07,2017-10-06,2018-01-05,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,3.177840419985908,0.1281395762021795,-0.051826752616284,0.1516563939149837,,,,3.3485137183012244,0.1657143556394373,3.370775051449378,0.1676895064188308,4.667585336014487,0.07797287861498359
39,2005-01-03,2017-04-07,2017-10-06,2018-01-05,43,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,3.1385936758429858,0.1464883996919657,-0.0608766779373979,0.1757344947685686,,,,3.3485137183012244,0.1657143556394373,3.370775051449378,0.1676895064188308,4.667585336014487,0.07797287861498359
39,2005-01-03,2017-04-07,2017-10-06,2018-01-05,44,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,2.959730820589317,0.1371900667431844,-0.0604596507635169,0.1751108575869616,,,,3.3485137183012244,0.1657143556394373,3.370775051449378,0.1676895064188308,4.667585336014487,0.07797287861498359
40,2005-01-03,2017-07-10,2018-01-08,2018-04-09,42,static_current,known,5,4020ad4ff1ee,"AAPL,MSFT,GOOGL,AMZN,NVDA",success,0.5458745262628892,0.0285404796038664,-0.0890877643314903,0.2157632879946752,,,,0.1153136834456916,0.0024111023847479,0.1272512892671166,0.0033267923685145,-0.9997768203210247,-0.050205585377031126
